Fri Jan 10 15:49:34 2014    profiling/game.run.profile

         8844407 function calls (8839797 primitive calls) in 26.332 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.545    0.545   26.332   26.332 code/game.py:97(run)
     1505   13.420    0.009   13.420    0.009 {method 'tick' of 'Clock' objects}
     4513    0.425    0.000    3.783    0.001 /usr/lib/python2.7/dist-packages/pygame/sprite.py:393(update)
     2178    2.581    0.001    2.581    0.001 {pygame.display.update}
      417    2.075    0.005    2.075    0.005 {pygame.display.flip}
   486087    0.305    0.000    1.565    0.000 code/objInstances.py:273(update)
     1505    0.404    0.000    1.341    0.001 code/game.py:530(collisionHandling)
   491342    0.517    0.000    1.257    0.000 code/physicalObject.py:384(move)
   615687    0.531    0.000    0.856    0.000 code/physicalObject.py:434(inCollision)
   554412    0.563    0.000    0.838    0.000 code/geometry.py:96(translate)
     9083    0.053    0.000    0.664    0.000 code/objInstances.py:212(update)
     1505    0.015    0.000    0.614    0.000 code/profilingObject.py:23(update)
   132241    0.143    0.000    0.607    0.000 code/physicalObject.py:401(draw)
    73886    0.085    0.000    0.470    0.000 code/objInstances.py:257(draw)
   865861    0.462    0.000    0.462    0.000 {cygeometry.distance}
   139656    0.458    0.000    0.458    0.000 {method 'blit' of 'pygame.Surface' objects}
   907756    0.458    0.000    0.458    0.000 code/physicalObject.py:417(isOnScreen)
     1505    0.108    0.000    0.430    0.000 code/game.py:73(coverAll)
    73886    0.384    0.000    0.384    0.000 {pygame.draw.circle}
   233303    0.356    0.000    0.356    0.000 {method 'fill' of 'pygame.Surface' objects}
    18784    0.156    0.000    0.327    0.000 code/physicalObject.py:16(__init__)
     9083    0.049    0.000    0.322    0.000 code/objInstances.py:236(__init__)
     1505    0.148    0.000    0.238    0.000 code/game.py:495(setClosestSprites)
   212314    0.223    0.000    0.223    0.000 code/game.py:83(getDirtyRect)
     9101    0.034    0.000    0.201    0.000 code/objInstances.py:266(__init__)
        2    0.000    0.000    0.173    0.087 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:2458(plot)
        6    0.000    0.000    0.170    0.028 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:683(gca)
    93544    0.041    0.000    0.162    0.000 /usr/lib/python2.7/random.py:237(randint)
        4    0.000    0.000    0.157    0.039 /usr/lib/pymodules/python2.7/matplotlib/axes.py:836(cla)
