Fri Jan 10 15:43:55 2014    profiling/game.run.profile

         8189053 function calls (8184595 primitive calls) in 25.530 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.416    0.416   25.530   25.530 code/game.py:97(run)
     1505   10.099    0.007   10.099    0.007 {method 'tick' of 'Clock' objects}
     1506    7.810    0.005    7.810    0.005 {pygame.display.flip}
     4513    0.415    0.000    3.769    0.001 /usr/lib/python2.7/dist-packages/pygame/sprite.py:393(update)
   487462    0.306    0.000    1.571    0.000 code/objInstances.py:273(update)
     1505    0.386    0.000    1.270    0.001 code/game.py:530(collisionHandling)
   492798    0.513    0.000    1.263    0.000 code/physicalObject.py:384(move)
   555865    0.564    0.000    0.846    0.000 code/geometry.py:96(translate)
   621983    0.542    0.000    0.805    0.000 code/physicalObject.py:434(inCollision)
     9083    0.055    0.000    0.672    0.000 code/objInstances.py:212(update)
   119872    0.130    0.000    0.603    0.000 code/physicalObject.py:401(draw)
     1505    0.005    0.000    0.572    0.000 code/profilingObject.py:23(update)
   128385    0.470    0.000    0.470    0.000 {method 'blit' of 'pygame.Surface' objects}
   907582    0.443    0.000    0.443    0.000 code/physicalObject.py:417(isOnScreen)
    22490    0.408    0.000    0.408    0.000 {method 'fill' of 'pygame.Surface' objects}
   886572    0.384    0.000    0.384    0.000 {cygeometry.distance}
     1504    0.003    0.000    0.375    0.000 code/game.py:66(redrawWholeBackground)
    56600    0.065    0.000    0.366    0.000 code/objInstances.py:257(draw)
     9083    0.049    0.000    0.326    0.000 code/objInstances.py:236(__init__)
    18780    0.158    0.000    0.322    0.000 code/physicalObject.py:16(__init__)
    56600    0.301    0.000    0.301    0.000 {pygame.draw.circle}
     1505    0.144    0.000    0.218    0.000 code/game.py:495(setClosestSprites)
     9097    0.034    0.000    0.196    0.000 code/objInstances.py:266(__init__)
        2    0.000    0.000    0.174    0.087 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:2458(plot)
        6    0.000    0.000    0.171    0.029 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:683(gca)
    93542    0.041    0.000    0.165    0.000 /usr/lib/python2.7/random.py:237(randint)
        4    0.000    0.000    0.151    0.038 /usr/lib/pymodules/python2.7/matplotlib/axes.py:836(cla)
    56569    0.062    0.000    0.145    0.000 code/objInstances.py:374(update)
  142/110    0.002    0.000    0.143    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:62(__init__)
    18780    0.093    0.000    0.139    0.000 code/physicalObject.py:132(loadNewImage)
    93542    0.116    0.000    0.124    0.000 /usr/lib/python2.7/random.py:173(randrange)
        1    0.001    0.001    0.119    0.119 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:15(<module>)
        1    0.002    0.002    0.111    0.111 /usr/lib/pymodules/python2.7/matplotlib/figure.py:13(<module>)
    52/36    0.001    0.000    0.109    0.003 /usr/lib/pymodules/python2.7/matplotlib/axis.py:702(cla)
   284088    0.091    0.000    0.108    0.000 code/objInstances.py:251(update)
    52/36    0.000    0.000    0.107    0.003 /usr/lib/pymodules/python2.7/matplotlib/axis.py:737(reset_ticks)
     1540    0.010    0.000    0.107    0.000 code/ship.py:445(update)
        2    0.000    0.000    0.107    0.053 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:468(savefig)
        2    0.000    0.000    0.107    0.053 /usr/lib/pymodules/python2.7/matplotlib/figure.py:1090(savefig)
        2    0.000    0.000    0.107    0.053 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:1892(print_figure)
        1    0.005    0.005    0.103    0.103 /usr/lib/pymodules/python2.7/matplotlib/axes.py:1(<module>)
        6    0.000    0.000    0.103    0.017 /usr/lib/pymodules/python2.7/matplotlib/figure.py:1043(gca)
        2    0.000    0.000    0.103    0.052 /usr/lib/pymodules/python2.7/matplotlib/figure.py:721(add_subplot)
        2    0.000    0.000    0.103    0.052 /usr/lib/pymodules/python2.7/matplotlib/axes.py:8412(__init__)
        2    0.000    0.000    0.103    0.051 /usr/lib/pymodules/python2.7/matplotlib/axes.py:357(__init__)
        2    0.000    0.000    0.102    0.051 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:1819(print_jpg)
   557183    0.101    0.000    0.101    0.000 {math.cos}
      428    0.008    0.000    0.100    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:128(__init__)
    60177    0.058    0.000    0.098    0.000 code/objInstances.py:289(update)
  1114366    0.097    0.000    0.097    0.000 {math.radians}
   557183    0.085    0.000    0.085    0.000 {math.sin}
     1988    0.008    0.000    0.080    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:115(_recache)
    12451    0.030    0.000    0.079    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:271(sprites)
    76/60    0.000    0.000    0.076    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1808(_get_tick)
        2    0.000    0.000    0.076    0.038 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:439(clf)
        3    0.000    0.000    0.076    0.025 /usr/lib/pymodules/python2.7/matplotlib/figure.py:794(clf)
        2    0.000    0.000    0.071    0.035 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:480(print_to_buffer)
        2    0.000    0.000    0.071    0.035 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:410(draw)
    144/2    0.000    0.000    0.070    0.035 /usr/lib/pymodules/python2.7/matplotlib/artist.py:53(draw_wrapper)
        2    0.000    0.000    0.070    0.035 /usr/lib/pymodules/python2.7/matplotlib/figure.py:827(draw)
