Tue Jan 14 15:00:07 2014    profiling/game.run.profile

         9249270 function calls (9244660 primitive calls) in 26.331 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.551    0.551   26.331   26.331 code/game.py:83(run)
     1505   12.493    0.008   12.493    0.008 {method 'tick' of 'Clock' objects}
     4513    0.417    0.000    3.701    0.001 /usr/lib/python2.7/dist-packages/pygame/sprite.py:393(update)
     2346    3.669    0.002    3.669    0.002 {pygame.display.update}
      333    1.603    0.005    1.603    0.005 {pygame.display.flip}
   487935    0.304    0.000    1.554    0.000 code/objInstances.py:269(update)
   491726    0.518    0.000    1.244    0.000 code/physicalObject.py:438(move)
     1505    0.323    0.000    1.081    0.001 code/game.py:601(collisionHandling)
   121429    0.128    0.000    0.871    0.000 code/physicalObject.py:455(draw)
   546981    0.548    0.000    0.809    0.000 code/geometry.py:96(translate)
   128078    0.755    0.000    0.755    0.000 {method 'blit' of 'pygame.Surface' objects}
   540894    0.472    0.000    0.695    0.000 code/physicalObject.py:488(inCollision)
     9083    0.052    0.000    0.653    0.000 code/objInstances.py:208(update)
     1505    0.256    0.000    0.598    0.000 code/game.py:520(setClosestSpritesAlt)
     1505    0.005    0.000    0.596    0.000 code/profilingObject.py:25(update)
     1505    0.107    0.000    0.461    0.000 code/game.py:73(coverAll)
    72846    0.080    0.000    0.458    0.000 code/objInstances.py:253(draw)
   898404    0.432    0.000    0.432    0.000 code/physicalObject.py:471(isOnScreen)
   220696    0.386    0.000    0.386    0.000 {method 'fill' of 'pygame.Surface' objects}
    72846    0.378    0.000    0.378    0.000 {pygame.draw.circle}
     9083    0.047    0.000    0.324    0.000 code/objInstances.py:232(__init__)
    18716    0.161    0.000    0.324    0.000 code/physicalObject.py:16(__init__)
   688237    0.307    0.000    0.307    0.000 {cygeometry.distance}
   152839    0.209    0.000    0.276    0.000 code/physicalObject.py:300(getAngleToTarget)
   199991    0.206    0.000    0.206    0.000 code/physicalObject.py:592(getDirtyRect)
     9087    0.033    0.000    0.191    0.000 code/objInstances.py:262(__init__)
        2    0.000    0.000    0.180    0.090 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:2458(plot)
        6    0.000    0.000    0.176    0.029 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:683(gca)
    93358    0.039    0.000    0.159    0.000 /usr/lib/python2.7/random.py:237(randint)
        4    0.000    0.000    0.156    0.039 /usr/lib/pymodules/python2.7/matplotlib/axes.py:836(cla)
  150/118    0.002    0.000    0.152    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:62(__init__)
    18716    0.087    0.000    0.129    0.000 code/physicalObject.py:147(loadNewImage)
    93358    0.113    0.000    0.120    0.000 /usr/lib/python2.7/random.py:173(randrange)
        2    0.000    0.000    0.119    0.059 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:468(savefig)
        2    0.000    0.000    0.119    0.059 /usr/lib/pymodules/python2.7/matplotlib/figure.py:1090(savefig)
        2    0.000    0.000    0.119    0.059 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:1892(print_figure)
    47558    0.051    0.000    0.119    0.000 code/objInstances.py:370(update)
        1    0.001    0.001    0.117    0.117 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:15(<module>)
        2    0.000    0.000    0.114    0.057 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:1819(print_jpg)
    52/36    0.001    0.000    0.110    0.003 /usr/lib/pymodules/python2.7/matplotlib/axis.py:702(cla)
        1    0.002    0.002    0.109    0.109 /usr/lib/pymodules/python2.7/matplotlib/figure.py:13(<module>)
    52/36    0.000    0.000    0.109    0.003 /usr/lib/pymodules/python2.7/matplotlib/axis.py:737(reset_ticks)
      452    0.009    0.000    0.106    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:128(__init__)
   284909    0.090    0.000    0.106    0.000 code/objInstances.py:247(update)
        6    0.000    0.000    0.103    0.017 /usr/lib/pymodules/python2.7/matplotlib/figure.py:1043(gca)
        2    0.000    0.000    0.103    0.051 /usr/lib/pymodules/python2.7/matplotlib/figure.py:721(add_subplot)
        2    0.000    0.000    0.103    0.051 /usr/lib/pymodules/python2.7/matplotlib/axes.py:8412(__init__)
        1    0.031    0.031    0.103    0.103 /usr/lib/pymodules/python2.7/matplotlib/axes.py:1(<module>)
        2    0.000    0.000    0.102    0.051 /usr/lib/pymodules/python2.7/matplotlib/axes.py:357(__init__)
    60171    0.056    0.000    0.093    0.000 code/objInstances.py:285(update)
   546981    0.093    0.000    0.093    0.000 {math.cos}
  1093962    0.090    0.000    0.090    0.000 {math.radians}
     3018    0.055    0.000    0.088    0.000 {sorted}
     1757    0.011    0.000    0.088    0.000 code/ship.py:467(update)
     2132    0.008    0.000    0.085    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:115(_recache)
    84/68    0.000    0.000    0.084    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1808(_get_tick)
        2    0.000    0.000    0.083    0.041 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:480(print_to_buffer)
        2    0.000    0.000    0.083    0.041 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:410(draw)
        2    0.000    0.000    0.082    0.041 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:439(clf)
        3    0.000    0.000    0.082    0.027 /usr/lib/pymodules/python2.7/matplotlib/figure.py:794(clf)
    160/2    0.001    0.000    0.082    0.041 /usr/lib/pymodules/python2.7/matplotlib/artist.py:53(draw_wrapper)
        2    0.000    0.000    0.082    0.041 /usr/lib/pymodules/python2.7/matplotlib/figure.py:827(draw)
     3791    0.010    0.000    0.081    0.000 code/physicalObject.py:399(performMove)
        2    0.000    0.000    0.080    0.040 /usr/lib/pymodules/python2.7/matplotlib/axes.py:1884(draw)
   546981    0.078    0.000    0.078    0.000 {math.sin}
       10    0.000    0.000    0.073    0.007 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:362(gcf)
        1    0.000    0.000    0.073    0.073 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:246(figure)
        1    0.000    0.000    0.073    0.073 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:73(new_figure_manager)
    12181    0.029    0.000    0.073    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:271(sprites)
        4    0.000    0.000    0.073    0.018 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1034(draw)
        8    0.000    0.000    0.070    0.009 /usr/lib/pymodules/python2.7/matplotlib/axis.py:835(set_clip_path)
    66/50    0.000    0.000    0.068    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1548(_get_tick)
       12    0.000    0.000    0.068    0.006 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1188(get_major_ticks)
       16    0.000    0.000    0.067    0.004 /usr/lib/pymodules/python2.7/matplotlib/spines.py:153(cla)
     2437    0.005    0.000    0.057    0.000 code/physicalObject.py:463(drawAt)
    18896    0.033    0.000    0.054    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:307(add)
     9083    0.010    0.000    0.054    0.000 code/colors.py:14(getRandHotColor)
     1066    0.004    0.000    0.051    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:150(set_marker)
     2106    0.003    0.000    0.051    0.000 code/ship.py:516(draw)
        1    0.005    0.005    0.051    0.051 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:99(<module>)
        1    0.002    0.002    0.050    0.050 /usr/lib/pymodules/python2.7/matplotlib/axis.py:3(<module>)
    30131    0.049    0.000    0.049    0.000 {method 'keys' of 'dict' objects}
     1757    0.005    0.000    0.046    0.000 code/ship.py:398(conservativeAttackMove)
      614    0.001    0.000    0.045    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:110(__init__)
     2307    0.009    0.000    0.045    0.000 code/physicalObject.py:174(updateImageAngle)
     2501    0.021    0.000    0.043    0.000 /usr/lib/pymodules/python2.7/matplotlib/path.py:86(__init__)
     1066    0.001    0.000    0.042    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:135(set_fillstyle)
     1504    0.005    0.000    0.042    0.000 code/player.py:178(playerUpdate)
   152840    0.041    0.000    0.041    0.000 {math.atan2}
        1    0.000    0.000    0.039    0.039 /usr/lib/python2.7/lib-tk/Tkinter.py:1692(__init__)
        1    0.038    0.038    0.038    0.038 {_tkinter.create}
     5878    0.037    0.000    0.037    0.000 {numpy.core.multiarray.array}
    15504    0.021    0.000    0.034    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:165(kill)
  624/472    0.001    0.000    0.034    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:372(get_spine_transform)
     4640    0.004    0.000    0.034    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:301(__iter__)
  648/472    0.000    0.000    0.033    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:136(_ensure_position_is_set)
       24    0.000    0.000    0.033    0.001 /usr/lib/pymodules/python2.7/matplotlib/spines.py:325(set_position)
       50    0.033    0.001    0.033    0.001 {built-in method call}
       30    0.000    0.000    0.032    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:224(draw)
        2    0.000    0.000    0.031    0.016 /usr/lib/python2.7/dist-packages/PIL/Image.py:1394(save)
    84/76    0.001    0.000    0.030    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:509(_get_tick1line)
    84/76    0.001    0.000    0.030    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:525(_get_tick2line)
      173    0.000    0.000    0.030    0.000 /usr/lib/python2.7/re.py:226(_compile)
       56    0.000    0.000    0.029    0.001 /usr/lib/python2.7/re.py:188(compile)
     3791    0.007    0.000    0.029    0.000 code/physicalObject.py:424(performMoveMechanics)
       57    0.000    0.000    0.029    0.001 /usr/lib/python2.7/sre_compile.py:495(compile)
     3011    0.028    0.000    0.028    0.000 {built-in method now}
      884    0.003    0.000    0.027    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1615(scale)
        2    0.000    0.000    0.027    0.013 /usr/lib/pymodules/python2.7/matplotlib/axes.py:498(_init_axis)
